#balance,customer_id,Rank
3769,15806771,1
12459,15713774,2
14263,15776467,3
16894,15741416,4
23503,15669011,5
24043,15800083,6
27288,15674156,7
27517,15715638,8
27756,15690925,9
28083,15594878,10
28650,15598485,11
29602,15649292,12
32198,15627830,13
33564,15574761,14
34014,15677371,15
34548,15693906,16
35017,15798964,17
35550,15751032,18
35742,15791172,19
36567,15629338,20
37267,15592979,21
37703,15743976,22
38340,15773283,23
38550,15752622,24
38617,15679394,25
38848,15602811,26
39043,15763662,27
39345,15611186,28
39539,15754929,29
40106,15684042,30
40170,15682834,31
40173,15672875,32
40225,15624428,33
40489,15576124,34
40686,15804771,35
40916,15612350,36
41299,15734044,37
41473,15740345,38
42157,15569807,39
42713,15665008,40
43029,15615254,41
43135,15658449,42
43504,15618647,43
43658,15642816,44
43773,15582129,45
44021,15813412,46
44055,15767064,47
44301,15635364,48
44582,15569249,49
44929,15613713,50
45022,15750839,51
45144,15743007,52
45409,15658946,53
45472,15603749,54
45753,15753110,55
46058,15686743,56
46161,15660147,57
46324,15690620,58
46388,15593778,59
46521,15623566,60
46870,15610383,61
47021,15669783,62
47135,15719856,63
47364,15674328,64
47536,15680167,65
47685,15688157,66
47870,15658956,67
47885,15582154,68
48024,15746695,69
48387,15707974,70
49114,15704987,71
49157,15700654,72
49509,15812230,73
49513,15680920,74
49573,15808175,75
50195,15579526,76
50881,15633897,77
50911,15624820,78
51116,15622518,79
51293,15569654,80
51523,15735263,81
51583,15768449,82
51691,15611318,83
51950,15801473,84
51963,15761717,85
52016,15567725,86
52106,15743478,87
52192,15708650,88
52436,15799217,89
52831,15702462,90
53013,15775433,91
53054,15664227,92
53292,15634143,93
53300,15644686,94
53369,15813645,95
53573,15566139,96
53667,15771383,97
53773,15578799,98
54098,15758836,99
54428,15575759,100
54504,15584766,101
54818,15645103,102
54901,15607178,103
54981,15647572,104
55054,15802274,105
55328,15798895,106
55733,15781678,107
55776,15668971,108
55853,15779581,109
56085,15702014,110
56116,15630709,111
56215,15726931,112
56228,15621063,113
56581,15613189,114
56581,15694188,115
56674,15684269,116
56727,15635143,117
56738,15751203,118
57017,15780140,119
57038,15661974,120
57068,15585106,121
57099,15804853,122
57327,15626491,123
57370,15569892,124
57423,15798605,125
57530,15613102,126
57569,15646594,127
57657,15572360,128
57746,15600110,129
57784,15801265,130
57809,15565779,131
57930,15611325,132
58003,15791006,133
58036,15705313,134
58137,15757140,135
58469,15759537,136
58571,15747772,137
58630,15677369,138
58641,15599433,139
58663,15644724,140
58668,15763980,141
58782,15598846,142
58820,15761076,143
59272,15791743,144
59361,15669290,145
59386,15674811,146
59409,15592300,147
59486,15584364,148
59532,15578648,149
59569,15665634,150
59669,15597930,151
59697,15656300,152
59877,15683339,153
59894,15673529,154
59972,15717629,155
60014,15628863,156
60205,15681439,157
60263,15766765,158
60281,15729668,159
60375,15638621,160
60515,15674179,161
60603,15808228,162
60881,15616555,163
61172,15664539,164
61197,15659105,165
61211,15762882,166
61275,15793424,167
61297,15770554,168
61320,15635500,169
61354,15754577,170
61482,15617136,171
61582,15612769,172
61592,15762332,173
61637,15688193,174
61671,15747288,175
61687,15764021,176
61689,15727408,177
61691,15788367,178
61710,15679200,179
61811,15628999,180
61826,15697000,181
62052,15613816,182
